seed,return,length,early_term,ey_rms,epsi_rms,theta_rms,theta_max,theta_dot_rms,control_energy,u_lqr_mean,u_lqr_max,u_stanley_mean,u_stanley_max,u_total_mean,u_total_max
25,-13.849206149164859,488,True,2.709576656865877,1.4533783284488164,1.2839562512648517,1.57,3.6696249213136767,6383.322491542175,0.0,0.0,0.5777227823753301,1.9637114964556048,56.713700840535374,264.4897944558311
26,58.6043739466888,1500,False,3.0126958511356126,1.2340228972601541,1.5327814541162998,1.57,4.236736562298313,7070.046835562363,0.0,0.0,0.38226229813590795,2.028090110569746,77.32349481351307,263.2546118461
27,59.096540476806815,1500,False,3.024359284460053,1.2227562102206861,1.535444607329812,1.57,4.217266218910772,7034.809532835319,0.0,0.0,0.37599665744021604,2.020189175651761,77.31800186102797,261.7879617213
28,75.73000016522671,1500,False,2.981299079735712,1.1324259301245179,1.5180058417065128,1.57,3.988062581673243,6377.376686762708,0.0,0.0,0.3245085995893001,2.0055923136884344,73.39567622640676,256.3996263711984
29,-16.20373863094284,327,True,3.0800645134914935,1.5697902649874955,1.3919871721994963,1.57,3.6155935358905253,6758.155817507754,0.0,0.0,0.6921623738204122,1.9625508053454541,62.17711050032539,259.98615635298785
30,65.38584801388254,1500,False,3.0091333546987196,1.2086799543414115,1.5212999521478852,1.57,4.135991014808682,6795.552311206661,0.0,0.0,0.3674299013062675,2.0357392592986274,75.29810758884894,260.85004454629944
31,50.39237355273966,1500,False,3.0112540844596496,1.248525666887553,1.5246365348201831,1.57,4.262748179553025,7145.630167965457,0.0,0.0,0.39243273036863396,2.0335469631261724,77.13776621814337,264.8876808632493
32,-16.07406389643318,340,True,3.0208222750431273,1.534249817945069,1.3608704419665427,1.57,3.4763345114957165,6378.9086964671715,0.0,0.0,0.6641042238762358,1.9721067110043697,58.888625580940385,259.5492594164804
33,-15.199643926348823,326,True,3.051317603685896,1.5682143879356503,1.389541397350693,1.57,3.550516596765248,6643.477130440081,0.0,0.0,0.6861228719741165,1.969120420957312,61.26399822649871,259.5414743053509
34,-12.654003811317951,273,True,2.9993060988551603,1.4815612923841512,1.3161453781604546,1.57,3.0342455190751036,5394.875169144306,0.0,0.0,0.6353627622608032,1.9386058608384782,51.44271949128305,256.42138887061725
35,-16.694266879594554,324,True,3.056877903578096,1.585394162122474,1.4030007580788364,1.57,3.6956610097203244,7122.947763450639,0.0,0.0,0.7042043417798829,1.9592367104478596,64.12127822727447,260.60250147260666
36,-16.773755362661927,322,True,3.065914781240748,1.5956700871844374,1.4117568374025489,1.57,3.777972978398192,7303.595416599573,0.0,0.0,0.7106356748532721,1.954295897976138,65.58528309048175,261.1791079479816
37,68.93565520161228,1500,False,3.0079992787303578,1.166863208473479,1.5356723373800991,1.57,4.098429526538467,6729.106897269769,0.0,0.0,0.3442812600692739,2.004690298734528,75.98705476874322,258.21507116959975
38,-18.183950968868785,404,True,2.9993004450668352,1.5848240673397607,1.4023511588120976,1.57,3.888342646692203,7324.228423757057,0.0,0.0,0.6825813856043232,1.954534459962237,66.1033518080228,262.8319029596913
39,67.85804987016178,1500,False,3.0033039265971166,1.1902429801607832,1.5302097773751016,1.57,4.125594302833409,6796.288123000016,0.0,0.0,0.3562846567919651,2.0166825007837312,75.90519379459002,259.64960660299283
40,-14.131454172023808,341,True,2.990280628818137,1.5264925752427185,1.352907821919372,1.57,3.339004999997008,6208.833012297045,0.0,0.0,0.6544279490200023,1.9676117149550887,57.51815113627711,258.5016589011651
41,76.80262474032604,1500,False,3.004087379176161,1.1436184993662124,1.5384441193100016,1.57,4.069062407834715,6602.098917776878,0.0,0.0,0.32492127076660243,1.9935589935906137,75.76389055163281,257.2414236419509
42,-14.29095660113638,361,True,2.8798849258414614,1.5068698499836801,1.3313887436501701,1.57,3.5212454429105478,6421.515435290704,0.0,0.0,0.6391403894719939,1.9492946980683779,57.939462975471635,260.81582682406366
43,49.55827138172179,1500,False,3.0242800715094087,1.2680003715500239,1.5372019170511912,1.57,4.31680208668151,7329.935826817154,0.0,0.0,0.4039934575954253,2.0106906197281607,78.67840818927813,265.7059436149591
44,-19.663379589271404,401,True,3.0348784193211205,1.5845733475114205,1.4048293537562069,1.57,3.8824435960368913,7414.972673997873,0.0,0.0,0.6923896913370358,1.9898694674634136,66.74021261481724,262.5716474871366
45,-14.220710272293806,344,True,2.947651547410031,1.5307918560904132,1.3554855541160322,1.57,3.498575275476375,6409.332393051101,0.0,0.0,0.6564117870918204,1.9574454325117139,58.87801740871808,259.66720801621017
46,55.75598392285895,1500,False,3.0318312095726982,1.249176554544278,1.536611613411059,1.57,4.305262296666773,7238.499920149648,0.0,0.0,0.39381055504610935,2.044023519912616,78.3324946332782,265.3194048802388
47,74.93229305044765,1500,False,2.9817783606731263,1.142743587696201,1.5273293681843108,1.57,4.050235728144219,6546.973409993266,0.0,0.0,0.33010071340878844,1.9868313384013894,74.72246317960399,257.7870381867032
48,-14.801239720496369,350,True,2.954735233416573,1.5106569798703364,1.3393221117708722,1.57,3.3999485556638507,6172.244858241784,0.0,0.0,0.6421417700899684,1.9611105231020411,56.844917221677775,259.1671789393335
49,-12.173679763221685,377,True,2.8456195520133076,1.4585314196228243,1.2926403847861674,1.57,3.2886430386890186,5765.29070996064,0.0,0.0,0.5979525754815764,1.9549542634942356,53.12961242082418,259.07203846961494
