step,theta,theta_dot,target_theta,tracking_err,u_lqr,epsilon,action,reward
184,-0.07785673929700423,-4.873821060576612e-05,-0.05817178589192784,0.019684953405076394,0.8664912756574911,-0.5,-35.263214111328125,-0.1557176480750038
185,-0.07785829683884178,-4.381449530323778e-05,-0.05817178589192784,0.01968651094691394,0.8664873756466653,-0.5,-35.26301193237305,-0.15572034194428624
186,-0.07785969703100773,-3.9388126021386356e-05,-0.05817178589192784,0.01968791113907989,0.8664838657176883,-0.5,-35.26282501220703,-0.15572276366048246
187,-0.07786095576783236,-3.540889256426071e-05,-0.05817178589192784,0.019689169875904522,0.866480707185898,-0.5,-35.262664794921875,-0.15572494071711757
188,-0.07786208733891453,-3.1831646749476444e-05,-0.05817178589192784,0.01969030144698669,0.866477865226467,-0.5,-35.26251220703125,-0.1557268978312487
189,-0.07786310459092126,-2.8615793272228192e-05,-0.05817178589192784,0.019691318698993418,0.8664753084572159,-0.5,-35.26238250732422,-0.15572865722351284
190,-0.07786401907311301,-2.5724831733903098e-05,-0.05817178589192784,0.019692233181185168,0.8664730085782983,-0.5,-35.26225662231445,-0.15573023887000445
191,-0.07786484116822978,-2.3125944633205316e-05,-0.05817178589192784,0.01969305527630194,0.8664709400585932,-0.5,-35.26215362548828,-0.15573166072880798
192,-0.07786558021020606,-2.078962667493127e-05,-0.05817178589192784,0.019693794318278224,0.8664690798604638,-0.5,-35.262054443359375,-0.15573293894372217
193,-0.07786624459003563,-1.868935124145039e-05,-0.05817178589192784,0.019694458698107792,0.8664674071964208,-0.5,-35.261966705322266,-0.1557340880274629
194,-0.07786684185097405,-1.6801270303675317e-05,-0.05817178589192784,0.019695055959046207,0.8664659033123823,-0.5,-35.26188659667969,-0.1557351210264017
195,-0.07786737877414812,-1.510394443010171e-05,-0.05817178589192784,0.01969559288222028,0.8664645512934522,-0.5,-35.26181411743164,-0.15573604966869184
