model,horizon,state,unit,mae_mean,mae_std,n_seeds,first_exceed_1sigma,first_exceed_2sigma,first_exceed_3sigma,endpoint_error_mean,requested_horizon,actual_survival_steps
gp_ensemble_7_5,50,delta_dot,rad/s,0.308652,0.195407,5,20.0,NaN,NaN,0.361532,50,50
gp_ensemble_7_5,100,phi,rad,0.107248,0.054689,5,60.5,NaN,NaN,0.118021,100,100
gp_ensemble_7_5,100,delta,rad,0.112452,0.036094,5,18.7,NaN,NaN,0.110220,100,100
gp_ensemble_7_5,100,phi_dot,rad/s,0.334183,0.185462,5,62.0,NaN,NaN,0.335534,100,100
gp_ensemble_7_5,100,delta_dot,rad/s,0.335608,0.165600,5,34.0,NaN,NaN,0.356843,100,100
gp_ensemble_7_5,500,phi,rad,0.115955,0.066721,5,84.0,NaN,NaN,0.141416,500,500
gp_ensemble_7_5,500,delta,rad,0.119283,0.045025,5,46.5,142.0,NaN,0.049048,500,500
gp_ensemble_7_5,500,phi_dot,rad/s,0.402749,0.173890,5,103.8,NaN,NaN,0.558073,500,500
gp_ensemble_7_5,500,delta_dot,rad/s,0.369579,0.194678,5,55.5,NaN,NaN,0.515087,500,500
gp_ensemble_7_5,1000,phi,rad,0.119026,0.070853,5,84.0,NaN,NaN,0.104130,1000,1000
gp_ensemble_7_5,1000,delta,rad,0.120992,0.048224,5,46.5,142.0,NaN,0.145016,1000,1000
gp_ensemble_7_5,1000,phi_dot,rad/s,0.410555,0.177941,5,103.8,NaN,NaN,0.188188,1000,1000
gp_ensemble_7_5,1000,delta_dot,rad/s,0.378430,0.206630,5,55.5,NaN,NaN,0.274421,1000,1000
